,fighter_id,name,natinality_name,wins,losses,total_matches,win_pct,avg_gained_point,avg_skipped_point,takedown_score,takedown_success_count,total_takedown_count,takedown_success_rate,takedown_per_fight_total,average_takedown_points_per_fight,single_leg_takedown_count,single_leg_takedown_success_rate,double_leg_takedown_success_rate,double_leg_takedown_count,defense_score,action_skipped_points_per_fight,total_successful_defenses_per_fight,action_escape_rate,takedown_parter_escape_rate,pin_to_parter_escape_rate,roll_escape_rate,protection_zone_escape_rate,parterre_escape_rate,total_action_counts_per_fight,offense_score,protection_zone_counts_per_fight,action_points_per_fight,action_counts_per_fight,action_success_rate,protection_zone_success_rate,protection_zone_points_per_fight,roll_success_rate,roll_count_per_fight,roll_points_per_fight,parterre_success_rate,parterre_points_per_fight,successful_parterre_attempts_per_match,total_parterre_per_match,durability_score,defense_score_durability,offense_score_durability,takedown_score_durability,passivity_per_fight,overall_score,Completed
1186,23296,Gamzatgadzhi KHALIDOV,hun,9,9,18,0.5,5.222222222222222,4.166666666666666,0.82,,8.0,0.0,1.0,0.0,,,,,0.88,,0.62,0.53,0.7,,,,1.0,0.88,0.14,0.5,2.5,1.5,0.3,1.0,0.5,,0.0,0.0,1.0,1.0,0.5,0.5,0.6,0.68,0.71,0.47,0.0,0.61,0
1187,23726,Alexis RODRIGUEZ HERNANDEZ,mex,2,3,5,0.4,4.4,4.8,0.0,,1.0,0.0,2.0,0.0,,,,,0.29,,0.94,0.2,,,0.0,,0.0,0.96,0.14,0.0,2.0,2.0,0.29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72,0.15,0.07,0.0,0.5,0.2875,0
1188,21554,Pavlo OLIINYK,hun,5,6,11,0.45,3.363636363636364,1.181818181818182,,,2.0,0.0,1.0,0.0,,,,,,,,0.64,0.88,,,0.0,,,0.14,0.5,1.0,1.0,0.4,1.0,0.5,,0.0,0.0,,0.0,0.0,0.0,0.56,0.87,,,,,0
1189,20739,Alireza Nosratolah SARLAK,iri,10,9,19,0.53,5.157894736842104,4.315789473684211,,,5.0,0.0,2.0,0.0,,,,,,,,0.67,0.8,,,0.0,,,0.14,0.0,2.0,2.0,0.29,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.17,,,,,,0
1190,20813,Luisa Helga Gerda NIEMESCH,ger,35,24,59,0.59,4.220338983050848,3.0,0.0,,4.0,0.0,2.0,0.0,,,,,0.75,,0.0,0.5,1.0,,,,,0.0,0.14,1.0,2.0,2.0,0.29,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.08,,,,0.5,0.2425,0
1191,26231,Utku DOGAN,tur,3,4,7,0.43,5.428571428571429,8.714285714285714,,,7.0,0.0,2.0,0.0,,,,,,,,0.5,0.67,,,0.0,0.0,,0.14,0.0,4.0,2.0,0.22,,0.0,,0.0,0.0,1.0,2.0,1.0,1.0,0.64,0.5,,0.0,,,0
1192,25633,Alans AMIROVS,lat,5,11,16,0.31,4.125,6.3125,,,6.0,0.0,1.5,0.0,,,,,,,,0.33,0.86,,,0.0,0.0,,0.13,0.0,3.0,1.5,0.27,0.0,0.0,0.67,1.0,2.0,0.67,2.0,1.0,1.5,0.63,0.3,,0.0,,,0
1193,26976,Levan METREVELI,esp,1,5,6,0.17,1.333333333333333,6.5,0.0,1.0,12.0,0.08,1.2,0.4,,,0.5,1.0,0.05,,0.54,0.38,0.65,,0.0,0.0,0.0,0.87,0.13,0.6,1.6,1.2,0.35,1.0,0.6,,0.0,0.0,,0.0,0.0,0.0,0.52,0.84,0.14,0.0,0.0,0.175,0
1194,28201,Domenic Michael ABOU NADER,lbn,4,8,12,0.33,2.916666666666667,7.083333333333333,,3.0,12.0,0.25,1.33,1.67,1.0,0.13,1.0,1.0,,,,0.52,0.6,,,0.0,0.67,,0.13,0.0,2.33,1.33,0.31,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.45,0.0,,0.0,,,0
1195,25548,Gennadij CUDINOVIC,ger,9,18,27,0.33,3.666666666666667,5.962962962962963,,,5.0,0.0,1.0,0.0,,,,,0.0,,0.0,0.13,1.0,0.0,,0.0,0.0,0.0,0.13,0.0,1.33,1.0,0.38,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.5,1.0,,0.0,0.0,,0
1196,20257,Jonni Kunnari SARKKINEN,fin,16,12,28,0.57,4.928571428571429,3.5,0.0,,7.0,0.0,1.5,0.0,,,,,0.32,,0.74,0.22,0.33,,,0.0,,0.77,0.13,0.0,2.0,1.5,0.3,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.6,0.26,0.32,0.0,0.5,0.2625,0
1197,21767,Nicholas Edward GWIAZDOWSKI,usa,28,11,39,0.72,6.17948717948718,2.410256410256411,0.33,1.0,3.0,0.33,0.67,0.67,1.0,0.33,,,0.29,,0.0,0.18,0.2,,,,1.0,0.0,0.13,0.0,1.0,0.67,0.4,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.1875,0
1198,21434,Deepak PUNIA,ind,48,30,78,0.62,4.551282051282051,2.987179487179487,0.0,,7.0,0.0,1.0,0.0,,,,,0.0,,0.62,0.46,0.5,,,0.0,0.83,0.81,0.13,0.0,1.5,1.0,0.36,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.45,0.43,0.0,0.0,0.0,0.145,0
1199,30673,Bekzat YERMEKBAY,kaz,3,2,5,0.6,7.6,8.0,,,2.0,0.0,1.0,0.0,,,,,,,,0.54,0.4,,,,0.43,,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.33,0.52,,,,,0
1200,30031,Niurgun SKRIABIN,blr,7,6,13,0.54,4.230769230769231,4.230769230769231,0.0,1.0,8.0,0.13,1.5,1.0,1.0,0.13,,,0.78,,0.97,0.53,0.6,,1.0,,0.6,0.88,0.13,0.0,2.5,1.5,0.27,,0.0,1.0,0.33,1.0,1.0,1.0,0.5,0.5,0.68,0.54,0.0,0.16,0.0,0.3975,0
1201,26988,Sirojiddin KHASANOV,uzb,7,11,18,0.39,4.111111111111112,5.944444444444445,,1.0,2.0,0.5,1.0,2.0,,,,,,,,0.38,0.5,,,0.0,,,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0
1202,29997,Noureldin Hany Mohamed Gomaa HASSAN,egy,7,5,12,0.58,4.166666666666666,2.916666666666667,,1.0,3.0,0.33,1.0,2.0,,,,,,,,0.0,,,,0.0,,,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.28,0.0,,,,,0
1203,23708,Shane Christopher JONES,pur,2,2,4,0.5,7.0,4.0,0.15,1.0,8.0,0.13,2.0,2.0,1.0,0.13,,,0.46,,0.74,0.29,0.25,,0.5,,0.5,0.99,0.13,1.0,3.0,2.0,0.22,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.58,0.0,0.28,0.35,0.0,0.33,0
1204,28442,Svetoslav Nikolaev NIKOLOV,bul,5,8,13,0.38,3.615384615384616,6.615384615384616,,,1.0,0.0,1.0,0.0,,,,,,,,0.29,0.33,,,0.0,,,0.13,1.0,2.0,1.0,0.33,1.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.3,0.26,,,,,0
1205,26717,Maarja PLASER,est,4,8,12,0.33,4.583333333333333,5.75,,,2.0,0.0,1.0,0.0,,,,,,,,0.43,0.4,,,,,,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0
1206,25558,Minseong KWON,kor,0,1,1,0.0,2.0,6.0,0.33,1.0,3.0,0.33,1.0,2.0,,,,,0.75,,0.84,0.5,1.0,,0.67,,0.67,0.81,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.55,0.43,0.0,0.0,0.0,0.4400000000000001,0
1207,27037,Ramaz SURMANIDZE,geo,1,3,4,0.25,3.0,6.75,,1.0,3.0,0.33,1.0,2.0,,,,,,,,0.25,,,,0.0,0.0,,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0
1208,32554,Salaheldin Mohamed Salaheldin ABBAS,egy,0,2,2,0.0,1.0,10.0,0.0,,2.0,0.0,1.0,0.0,,,,,0.29,,0.0,0.2,0.25,,,,,0.0,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.105,0
1209,23679,Miglena Georgieva SELISHKA,bul,26,11,37,0.7,5.648648648648649,3.189189189189189,,1.0,3.0,0.33,1.0,2.0,,,,,,,,0.5,0.67,,,0.0,,,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.47,0.0,,0.0,,,0
1210,20515,Aziz GASSYMOV,kaz,6,4,10,0.6,5.3,4.2,,,2.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,,,,,,0.13,0.0,2.0,1.0,0.33,,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,,,,,,0
1211,22728,Oksana LIVACH,ukr,39,19,58,0.67,6.396551724137931,4.241379310344828,0.0,2.0,20.0,0.1,1.5,1.5,,,0.25,1.0,0.84,,0.94,0.62,0.85,0.0,0.33,0.0,0.29,0.96,0.13,0.5,3.0,1.5,0.25,1.0,0.5,,0.0,0.0,,0.0,0.0,0.0,0.63,0.85,0.11,0.02,0.0,0.4,0
1212,28257,Przemyslaw PIATEK,pol,3,7,10,0.3,3.5,5.0,,,2.0,0.0,1.0,0.0,,,,,,,,0.63,1.0,1.0,,,1.0,,0.13,0.0,2.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.58,0.43,,0.0,,,0
1213,24729,Marwane Ahmed YEZZA,fra,11,14,25,0.44,3.2,4.84,,1.0,8.0,0.13,1.5,0.5,1.0,0.14,,,,,,0.62,0.71,,,1.0,0.0,,0.12,0.0,1.5,1.5,0.3,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.04,,,,,,0
1214,22106,Otgonjargal DOLGORJAV,mgl,22,8,30,0.73,6.133333333333333,2.766666666666667,0.0,,6.0,0.0,2.0,0.0,,,,,0.79,,0.84,0.56,0.75,,1.0,0.0,1.0,0.99,0.12,1.0,2.0,2.0,0.25,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.61,0.43,0.19,0.0,0.0,0.38,0
1215,28310,Timur BIZHOEV,rus,14,6,20,0.7,6.15,1.9,,,5.0,0.0,2.0,0.0,,,,,,,,0.75,1.0,,,,,,0.12,1.0,2.0,2.0,0.25,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.69,0.83,,0.0,,,0
1216,20814,Lais NUNES DE OLIVEIRA,bra,52,27,79,0.66,5.341772151898734,3.126582278481013,,,5.0,0.0,2.0,0.0,,,,,,,,0.2,1.0,,,0.0,,,0.12,1.0,2.0,2.0,0.25,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.08,,,,,,0
1217,21570,Maksim KAZHARSKI,blr,4,7,11,0.36,1.636363636363636,3.545454545454545,,,1.0,0.0,0.5,0.0,,,,,,,,0.27,,,,,0.5,,0.11,0.25,0.5,0.5,0.4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.22,0.0,,,,,0
1218,23649,Ahmad MAGOMEDOV,mkd,4,3,7,0.57,6.714285714285714,3.285714285714286,0.0,,5.0,0.0,2.0,0.0,,,,,0.83,,0.97,0.6,1.0,,0.0,0.0,0.0,0.99,0.11,0.0,3.0,2.0,0.2,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.74,0.7,0.24,0.0,0.5,0.42,0
1219,26313,Elif YANIK,tur,11,19,30,0.37,4.066666666666666,6.3,,,4.0,0.0,1.0,0.0,,,,,,,,0.33,0.4,0.0,,,0.0,,0.11,0.0,1.5,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.24,0.0,,,,,0
1220,21503,Zurabi IAKOBISHVILI,geo,29,11,40,0.73,4.55,2.4,,1.0,27.0,0.05,1.75,0.5,,,,,,,,0.64,1.0,,,0.0,,,0.11,0.6,4.0,2.4,0.32,1.0,0.6,1.0,0.2,0.4,1.0,0.4,0.2,0.2,0.08,,,,,,0
1221,22247,Adomas GRIGALIUNAS,ltu,7,12,19,0.37,2.842105263157895,5.736842105263158,,,2.0,0.0,1.0,0.0,,,,,,,,0.43,1.0,,,,0.0,,0.11,0.0,1.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.08,,,,,,0
1222,30175,Taishi HORIE,jpn,1,4,5,0.2,3.4,6.2,,,2.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,,,,,,0.11,1.0,1.0,1.0,0.33,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.47,0.0,,0.0,,,0
1223,21701,Danute DOMIKAITYTE,ltu,17,24,41,0.41,3.975609756097561,4.682926829268292,,,2.0,0.0,1.0,0.0,,,,,,,,0.0,,0.0,,0.0,0.0,,0.11,0.0,1.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.08,,,,,,0
1224,22564,Myles Nazem AMINE,smr,27,12,39,0.69,4.358974358974359,2.974358974358974,0.15,16.0,204.0,0.08,2.0,1.68,11.0,0.07,,,0.62,,0.94,0.67,0.89,0.0,1.0,0.0,0.43,0.96,0.11,0.0,3.58,2.0,0.16,,0.0,0.4,0.11,0.21,0.7,0.74,0.37,0.53,0.41,0.75,0.11,0.03,0.0,0.3225,1
1225,22534,Gianluca TALAMO,ita,2,12,14,0.14,2.857142857142857,8.5,0.0,,2.0,0.0,1.0,0.0,,,,,0.62,,0.0,0.4,0.57,,0.0,,0.0,0.0,0.11,0.0,1.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.08,,,,0.5,0.2025,0
1226,21481,Mihran JABURYAN,arm,4,7,11,0.36,3.090909090909091,5.545454545454546,,,6.0,0.0,1.0,0.0,,,,,,,,0.19,0.33,,,,0.0,,0.11,0.67,1.0,1.0,0.33,1.0,0.67,,0.0,0.0,,0.0,0.0,0.0,0.42,0.68,,0.0,,,0
1227,22308,David ZHYTOMYRSKY,isr,7,14,21,0.33,3.523809523809524,5.523809523809524,,,2.0,0.0,1.0,0.0,,,,,,,,0.0,,,,,0.0,,0.11,0.0,1.0,1.0,0.33,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.61,0.0,,0.0,,,0
1228,21761,Reineris SALAS PEREZ,cub,20,7,27,0.74,5.407407407407408,2.0,,,2.0,0.0,1.0,0.0,,,,,,,,0.14,0.0,,,0.0,0.0,,0.11,1.0,1.0,1.0,0.33,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0
